total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
SARCOMA, MULTIPLE IDIOPATHIC HEMORRHAGIC	Kaposi_Sarcoma
Kaposi's sarcoma, unspecified site	Kaposi_Sarcoma
Kaposi's sarcoma, morphology (morphologic abnormality)	Kaposi_Sarcoma
Multiple Hemorrhagic Sarcoma	Kaposi_Sarcoma
Multiple Idiopathic Pigmented Hemangiosarcoma	Kaposi_Sarcoma
sarcoma, Kaposi's	Kaposi_Sarcoma
Kaposi's sarcoma NOS	Kaposi_Sarcoma
Kaposi's sarcoma, morphology	Kaposi_Sarcoma
Kaposi's sarcoma (C46)	Kaposi_Sarcoma
KS - Kaposi's sarcoma	Kaposi_Sarcoma
Kaposi's sarcoma (disorder)	Kaposi_Sarcoma
Sarcoma, Kaposi	Kaposi_Sarcoma
HHV8	Kaposi_Sarcoma
Kaposi sarcoma, morphology	Kaposi_Sarcoma
Kaposi's Sarcoma	Kaposi_Sarcoma
KAPOSI CANCER, SARCOMA	Kaposi_Sarcoma
Kaposi's sarcoma (clinical)	Kaposi_Sarcoma
sarcoma, multiple hemorrhagic	Kaposi_Sarcoma
Sarcoma, Kaposi's	Kaposi_Sarcoma
HHV 8	Kaposi_Sarcoma
Kaposis Sarcoma	Kaposi_Sarcoma
KS	Kaposi_Sarcoma
Kaposi's sarcoma, unspecified	Kaposi_Sarcoma
Skin cancer, Kaposi sarcoma	Kaposi_Sarcoma
Sarcoma, Kaposi [Disease/Finding]	Kaposi_Sarcoma
Posterior Commissure	Posterior_Commissure
Posterior cerebral commissure (body structure)	Posterior_Commissure
Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle	Rosette_Forming_Glioneuronal_Tumor_of_the_Fourth_Ventricle
Cardiac Valve Cusp	Cardiac_Valve_Cusp
Structure of cardiac valve cusp (body structure)	Cardiac_Valve_Cusp
Entire cardiac valve cusp (body structure)	Cardiac_Valve_Cusp
Akutan Aleuts	Akutan
T1a1 Stage Finding	T1a1_Stage_Finding
Tumor stage T1a1	T1a1_Stage_Finding
Tumour stage T1a1	T1a1_Stage_Finding
Tumor stage T1a1 (finding)	T1a1_Stage_Finding
myelogenous leukemia, meningeal chronic	Meninges
leukemia, meningeal chronic myelogenous	Meninges
chronic myelogenous leukemia, meningeal	Meninges
granulocytic leukemia, meningeal chronic	Meninges
Meningeal Chronic Myelogenous Leukemia, BCR-ABL1 Positive	Meninges
Meningitis Like Reaction	Meninges
Dupre's Syndrome	Meninges
Meningeal observable (observable entity)	Meninges
meningeal CGL	Meninges
Meningitis-Like Reaction	Meninges
Meningitis, unspecified	Meninges
Dupre Syndrome	Meninges
Syndrome, Dupre's	Meninges
chronic myelocytic leukemia, meningeal	Meninges
Syndrome, Dupre	Meninges
Meningitis-Like Reactions	Meninges
Meningeal Chronic Myelogenous Leukemia	Meninges
Reaction, Meningitis-Like	Meninges
Meninges, NOS	Meninges
Meningitis [Disease/Finding]	Meninges
Meningitis (disorder)	Meninges
Meninges structure (body structure)	Meninges
Meningism [Disease/Finding]	Meninges
meningitis NOS	Meninges
chronic granulocytic leukemia, meningeal	Meninges
meningeal CML	Meninges
Reactions, Meningitis-Like	Meninges
Meningism (finding)	Meninges
Meningitis NOS	Meninges
Dupres Syndrome	Meninges
CML, meningeal	Meninges
CGL, meningeal	Meninges
Meningeal irritation (disorder)	Meninges
myelocytic leukemia, meningeal chronic	Meninges
RaceAmericanIndianSeminole	Seminole
Seminole (ethnic group)	Seminole
WT	WeightPercentile_Section
Regional Lymph Node	Regional_Lymph_Node
LYMPH NODE, REGIONAL	Regional_Lymph_Node
Region of lymph node (body structure)	Regional_Lymph_Node
Lip and Oral Cavity Carcinoma	Lip_and_Oral_Cavity_Carcinoma
Lip and/or oral cavity cancer NOS	Lip_and_Oral_Cavity_Carcinoma
Oral Cancer	Lip_and_Oral_Cavity_Carcinoma
Lip and Oral Cavity Cancer	Lip_and_Oral_Cavity_Carcinoma
Oral Carcinoma	Lip_and_Oral_Cavity_Carcinoma
Middle Cervical Ganglion	Middle_Cervical_Ganglion
Structure of middle cervical ganglion (body structure)	Middle_Cervical_Ganglion
Entire middle cervical ganglion (body structure)	Middle_Cervical_Ganglion
20q11.2	20q11_2
20q11.1	20q11_1
Drospirenone/Ethinyl Estradiol	Drospirenone_Ethinyl_Estradiol
Utu Utu Gwaitu Paiute	Utu_Utu_Gwaitu_Paiute
Sacculus (Labyrinthus vestibularis)	Saccule
Entire saccule (body structure)	Saccule
Saccule structure (body structure)	Saccule
Northern Cherokee	Northern_Cherokee
Northern Cherokee race	Northern_Cherokee
Unclassified Renal Cell Carcinoma	Unclassified_Renal_Cell_Carcinoma
Total Estrogen Blockade	Total_Estrogen_Blockade
Seminoma, no International Classification of Diseases for Oncology subtype	Seminoma
Seminoma, Pure	Seminoma
Seminoma, no ICD-O subtype	Seminoma
Seminoma (disorder)	Seminoma
Seminoma, NOS	Seminoma
SEMINOMA, MALIGNANT	Seminoma
Seminoma [Disease/Finding]	Seminoma
Seminoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)	Seminoma
Lymphoid Tissue	Lymphoid_Tissue
Lymphoid Tissues	Lymphoid_Tissue
Lymphatic Tissue	Lymphoid_Tissue
Lymphocytic tissue structure (body structure)	Lymphoid_Tissue
Tissues, Lymphoid	Lymphoid_Tissue
Lymphatic Tissues	Lymphoid_Tissue
Lymphatic tissue (body structure)	Lymphoid_Tissue
Tissue, Lymphatic	Lymphoid_Tissue
Tissue, Lymphoid	Lymphoid_Tissue
Tissues, Lymphatic	Lymphoid_Tissue
Electrical Synapse	Electrical_Synapse
Electrical Synapses	Electrical_Synapse
Synapses, Electrical	Electrical_Synapse
Synapse, Electrical	Electrical_Synapse
T7 Vertebra	T7_Vertebra
Entire T7 vertebra (body structure)	T7_Vertebra
Entire T7 vertebra	T7_Vertebra
T7 VERTEBRA	T7_Vertebra
T7 vertebra	T7_Vertebra
Bone structure of T7 (body structure)	T7_Vertebra
Bone structure of T7	T7_Vertebra
Copper Center	Copper_Center
Copper Center Indians	Copper_Center
1p34.3-p32.1	1p34_3-p32_1
Grade 3 Rectal Adenocarcinoma	Grade_3_Rectal_Adenocarcinoma
Poorly Differentiated Rectal Adenocarcinoma	Grade_3_Rectal_Adenocarcinoma
Grade III Rectal Adenocarcinoma	Grade_3_Rectal_Adenocarcinoma
Splenic Capsule	Splenic_Capsule
Structure of fibroelastic coat of spleen (body structure)	Splenic_Capsule
Splenic capsule structure (body structure)	Splenic_Capsule
Tunica fibrosa (Splen)(Lien)	Splenic_Capsule
Splenic Germinal Center	Splenic_Germinal_Center
Spleen Germinal Center	Splenic_Germinal_Center
Cerebral Peduncle	Cerebral_Peduncle
Pedunculi Cerebrus, Basis	Cerebral_Peduncle
Cerebrus, Basis Pedunculi	Cerebral_Peduncle
Cerebri, Basis Pedunculi	Cerebral_Peduncle
Peduncle, Cerebral	Cerebral_Peduncle
Cerebral peduncle structure (body structure)	Cerebral_Peduncle
Basis Pedunculi	Cerebral_Peduncle
cerebral peduncle (clinical definition)	Cerebral_Peduncle
Pedunculus Cerebri	Cerebral_Peduncle
Pedunculus Cerebrus	Cerebral_Peduncle
Basis Pedunculus	Cerebral_Peduncle
Cerebri, Pedunculus	Cerebral_Peduncle
Peduncles, Cerebral	Cerebral_Peduncle
Pedunculus, Basis	Cerebral_Peduncle
Basis Pedunculi Cerebri	Cerebral_Peduncle
Pedunculi, Basis	Cerebral_Peduncle
Pedunculi Cerebri, Basis	Cerebral_Peduncle
Cerebral Peduncles	Cerebral_Peduncle
Basis Pedunculi Cerebrus	Cerebral_Peduncle
Cerebrus, Pedunculus	Cerebral_Peduncle
Spindle Cell Melanoma	Spindle_Cell_Melanoma
Spindle cell melanoma (morphologic abnormality)	Spindle_Cell_Melanoma
Spindle A Melanoma Cell	Spindle_Cell_Melanoma
Spindle Cell Malignant Melanoma	Spindle_Cell_Melanoma
Spindle Melanoma Cell	Spindle_Cell_Melanoma
Malignant Spindle Cell Melanoma	Spindle_Cell_Melanoma
Spindle cell malignant melanoma (disorder)	Spindle_Cell_Melanoma
Spindle cell melanoma, NOS	Spindle_Cell_Melanoma
Vertebral Vein	Vertebral_Vein
Structure of vertebral vein (body structure)	Vertebral_Vein
Entire vertebral vein (body structure)	Vertebral_Vein
Primary Cutaneous Gamma-Delta T-Cell Lymphoma	Primary_Cutaneous_Gamma_Delta_T_Cell_Lymphoma
Primary cutaneous gamma-delta T-cell lymphoma (morphologic abnormality)	Primary_Cutaneous_Gamma_Delta_T_Cell_Lymphoma
Primary cutaneous gamma-delta T-cell lymphoma	Primary_Cutaneous_Gamma_Delta_T_Cell_Lymphoma
Cutaneous Gamma/Delta T-Cell Lymphoma	Primary_Cutaneous_Gamma_Delta_T_Cell_Lymphoma
Anastomotica Magna Artery	Anastomotica_Magna_Artery
Mitochondrial Matrix	Mitochondrial_Matrix
14q11-q12	14q11-q12
12q23.1	12q23_1
Crypt Epithelium	Crypt_Epithelium
Mucin (substance)	Mucinous
MUCIN 1, TRANSMEMBRANE	Mucinous
mucin 1, transmembrane	Mucinous
mucin 1, cell surface associated	Mucinous
CA 27.29	Mucinous
Transmembrane Mucin 1	Mucinous
CA 15-3	Mucinous
Peanut-Reactive Urinary Mucin	Mucinous
MUC-1/Z	Mucinous
Mucus Glycoprotein	Mucinous
MUC-1/Y	Mucinous
MUC-1/X	Mucinous
Epithelial Membrane Antigen	Mucinous
Tumor-Associated Mucin	Mucinous
Mucin 1, Transmembrane Gene	Mucinous
DF3 Antigen	Mucinous
PEMT	Mucinous
H23AG	Mucinous
PUM	Mucinous
(AA).MUC1.0	Mucinous
Polymorphic Epithelial Mucin	Mucinous
CD227 Antigen	Mucinous
Carcinoma-Associated Mucin	Mucinous
MUC1/ZD	Mucinous
MUCIN, TUMOR-ASSOCIATED EPITHELIAL	Mucinous
MUC1 gene	Mucinous
DF3 antigen	Mucinous
MUC-1	Mucinous
Cancer Antigen 27.29	Mucinous
PEM	Mucinous
H23 Antigen	Mucinous
MUC1 mucin	Mucinous
MUC1	Mucinous
CD227	Mucinous
(gDNA).MUC1	Mucinous
Mucin 1	Mucinous
CA 27-29	Mucinous
Tumor-Associated Epithelial Membrane Antigen	Mucinous
Mucin-1 protein	Mucinous
Mucin (product)	Mucinous
MUC-1/SEC	Mucinous
MUCIN 1, URINARY	Mucinous
MUC1 Gene	Mucinous
Mucins [Chemical/Ingredient]	Mucinous
MAM6	Mucinous
Cancer Antigen 15-3	Mucinous
EMA	Mucinous
H23 antigen	Mucinous
breast carcinoma-associated antigen DF3	Mucinous
Breast Carcinoma-Associated Antigen DF3	Mucinous
CD227 Ag	Mucinous
Mucin-1	Mucinous
Computed Tomography	Computed_Tomography
CT - Computerised tomography	Computed_Tomography
X-Ray CAT Scans	Computed_Tomography
Computerized Axial Tomography	Computed_Tomography
X Ray Computerized Tomography	Computed_Tomography
Computerized axial tomography (procedure)	Computed_Tomography
CT Scans, X-Ray	Computed_Tomography
CAT	Computed_Tomography
CT Scan, X-Ray	Computed_Tomography
Tomography, X Ray Computer Assisted	Computed_Tomography
Computed Tomography, Transmission	Computed_Tomography
CT scan	Computed_Tomography
CAT - Computerised axial tomography	Computed_Tomography
CAT Scan	Computed_Tomography
Tomography, X-Ray Computer Assisted	Computed_Tomography
Computed Tomography, X-Ray	Computed_Tomography
Scans, X-Ray CT	Computed_Tomography
CT Scan, X Ray	Computed_Tomography
X-Ray CT Scan	Computed_Tomography
Transmission Computed Tomography	Computed_Tomography
Computed X Ray Tomography	Computed_Tomography
X Rays, CT	Computed_Tomography
CT X Ray	Computed_Tomography
X-Ray CAT Scan	Computed_Tomography
CT	Computed_Tomography
X-Ray Computed Tomography	Computed_Tomography
Tomography, X Ray Computed	Computed_Tomography
X Ray Tomography, Computed	Computed_Tomography
Computerized Tomography, X-Ray	Computed_Tomography
CAT - Computerized axial tomography	Computed_Tomography
Radiologic Technologist - Computed Tomography	Computed_Tomography
Scans, X-Ray CAT	Computed_Tomography
Computed Tomography, Xray	Computed_Tomography
CT X Rays	Computed_Tomography
Tomography, Computed X-Ray	Computed_Tomography
C.A.T. scan NOS	Computed_Tomography
CAT Scan, X-Ray	Computed_Tomography
CTT scan	Computed_Tomography
Scan, X-Ray CAT	Computed_Tomography
Tomography, X-Ray Computed	Computed_Tomography
X-Ray Tomography, Computed	Computed_Tomography
Computed Tomography, X Ray	Computed_Tomography
Tomography, X-Ray Computerized	Computed_Tomography
X-Ray Computerized Tomography	Computed_Tomography
Computerized Tomography, X Ray	Computed_Tomography
CAT Scans	Computed_Tomography
tomography, computed	Computed_Tomography
CT Scans	Computed_Tomography
Tomography, X Ray Computerized	Computed_Tomography
Tomography, Xray Computed	Computed_Tomography
Computerized Tomography	Computed_Tomography
Tomographies, Computed X-Ray	Computed_Tomography
EMI scan	Computed_Tomography
CT - Computerized tomography	Computed_Tomography
X Ray Computer Assisted Tomography	Computed_Tomography
CAT Scans, X-Ray	Computed_Tomography
X-Ray CT Scans	Computed_Tomography
Xray Computed Tomography	Computed_Tomography
Scan, X-Ray CT	Computed_Tomography
Tomography, Transmission Computed	Computed_Tomography
CAT Scan, X Ray	Computed_Tomography
CAT scan	Computed_Tomography
X Ray, CT	Computed_Tomography
X-Ray Computer Assisted Tomography	Computed_Tomography
Computed X-Ray Tomography	Computed_Tomography
Septal Perforator Artery	Septal_Perforator_Artery
PDSP	Septal_Perforator_Artery
Posterior Descending Septal Perforators Artery	Septal_Perforator_Artery
coronary artery segment 17	Septal_Perforator_Artery
Posterior Descending Septal Perforators Artery Segment	Septal_Perforator_Artery
Cyclic AMP Response Element	Cyclic_AMP_Response_Element
cAMP Response Element	Cyclic_AMP_Response_Element
CRE	Cyclic_AMP_Response_Element
Adnexal Carcinoma	Adnexal_Carcinoma
Skin Appendage Carcinomas	Adnexal_Carcinoma
Carcinoma of Adnexa	Adnexal_Carcinoma
Carcinoma of Skin Appendage	Adnexal_Carcinoma
Carcinomas, Skin Appendage	Adnexal_Carcinoma
CARCINOMA, ADNEXAL, MALIGNANT	Adnexal_Carcinoma
Skin Appendage Carcinoma	Adnexal_Carcinoma
Appendage Carcinomas, Skin	Adnexal_Carcinoma
Carcinoma, Skin Appendage [Disease/Finding]	Adnexal_Carcinoma
Carcinoma, Skin Appendage	Adnexal_Carcinoma
Appendage Carcinoma, Skin	Adnexal_Carcinoma
Skin appendage carcinoma (morphologic abnormality)	Adnexal_Carcinoma
18q21.1-q21.32	18q21_1-q21_32
Collagen Fibril	Collagen_Fibril
Collagen Fiber	Collagen_Fibril
Papillary Tumor of the Pineal Region	Papillary_Tumor_of_the_Pineal_Region
Papillary tumor of the pineal region (morphologic abnormality)	Papillary_Tumor_of_the_Pineal_Region
Seed Implantation	Seed_Implantation
{Seed}	Seed_Implantation
Radioactive Seed Implant Dosing Unit	Seed_Implantation
Seed Implant	Seed_Implantation
Right Kidney	Right_Kidney
Right kidney structure (body structure)	Right_Kidney
Bronchial Mucosa-Associated Lymphoid Tissue Lymphoma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
Bronchial MALT Lymphoma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
BALToma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
Bronchus-Associated Lymphoid Tissue Lymphoma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
BALT Lymphoma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
BALT lymphoma	Bronchial_Mucosa_Associated_Lymphoid_Tissue_Lymphoma
Breast Cancer pMX TNM Finding	Breast_Cancer_pMX_TNM_Finding
pMX	Breast_Cancer_pMX_TNM_Finding
Colon Traditional Serrated Adenoma	Colon_Traditional_Serrated_Adenoma
Colon Serrated Adenoma Type II	Colon_Traditional_Serrated_Adenoma
Colon TSA	Colon_Traditional_Serrated_Adenoma
Colon Serrated Adenoma	Colon_Traditional_Serrated_Adenoma
Yokuts Indians	Yokuts
Disease, Anus	Anus
Anal disorder NOS	Anus
Diseases, Anus	Anus
Anus, NOS	Anus
Anus Diseases [Disease/Finding]	Anus
ANUS	Anus
Anal Disorder	Anus
Anal structure (body structure)	Anus
Entire anus (body structure)	Anus
Disorder of anus (disorder)	Anus
Anus Diseases	Anus
Anal Disorders	Anus
Anus Disease	Anus
LARGE INTESTINE, ANUS	Anus
Aggressive NK-Cell Leukemia	Aggressive_NK_Cell_Leukemia
Aggressive NK-Cell Leukemia/Lymphoma	Aggressive_NK_Cell_Leukemia
NK-cell leukemia	Aggressive_NK_Cell_Leukemia
NK-Cell Leukemia	Aggressive_NK_Cell_Leukemia
NK-cell large granular lymphocytic leukemia	Aggressive_NK_Cell_Leukemia
Aggressive NK cell leukaemia	Aggressive_NK_Cell_Leukemia
aggressive NK-cell leukemia	Aggressive_NK_Cell_Leukemia
Aggressive NK-cell leukemia	Aggressive_NK_Cell_Leukemia
Aggressive natural killer-cell leukemia (morphologic abnormality)	Aggressive_NK_Cell_Leukemia
Natural Killer Cell Leukemia	Aggressive_NK_Cell_Leukemia
NK Cell Leukemia	Aggressive_NK_Cell_Leukemia
Aggressive NK-cell leukaemia	Aggressive_NK_Cell_Leukemia
Aggressive NK cell leukemia	Aggressive_NK_Cell_Leukemia
NK-cell leukaemia	Aggressive_NK_Cell_Leukemia
Cellular Matrix	Cytoskeleton
Cytoskeletal System	Cytoskeleton
Microtubules associated with cytoplasmic filaments (cell structure)	Cytoskeleton
Prophylactic Surgery	Prophylactic_Surgery
Encounter due to prophylactic surgery, unspecified	Prophylactic_Surgery
Prophylactic surgery, unspecified	Prophylactic_Surgery
Cerebral White Matter	Cerebral_White_Matter
Cerebral white matter structure (body structure)	Cerebral_White_Matter
Entire cerebral white matter (body structure)	Cerebral_White_Matter
Probable NegatedExistence Certainty	ProbableNegatedExistence_Certainty
22q12.3-q13.1	22q12_3-q13_1
BP	BloodPressure_Section
Common Iliac Vein	Common_Iliac_Vein
CIV - Common iliac vein	Common_Iliac_Vein
Entire common iliac vein (body structure)	Common_Iliac_Vein
Structure of common iliac vein (body structure)	Common_Iliac_Vein
Pancreatic Delta Cell Neuroendocrine Tumor	Pancreatic_Delta_Cell_Neuroendocrine_Tumor
Pancreatic Delta Cell NET	Pancreatic_Delta_Cell_Neuroendocrine_Tumor
Pancreatic Delta Cell Neoplasm	Pancreatic_Delta_Cell_Neuroendocrine_Tumor
Pancreatic Delta Cell Tumor	Pancreatic_Delta_Cell_Neuroendocrine_Tumor
Yakama Cowlitz	Yakama_Cowlitz
Yakama Cowlitz Indians	Yakama_Cowlitz
Structure of salpingopharyngeus muscle (body structure)	Salpingopharyngeus
Entire salpingopharyngeus muscle (body structure)	Salpingopharyngeus
Pericardiacophrenic Vein	Pericardiacophrenic_Vein
Pericardiacophrenic vein (body structure)	Pericardiacophrenic_Vein
STD	SexualTransmittedDiseaseHistory_Section
STDS	SexualTransmittedDiseaseHistory_Section
2p22.3-p21	2p22_3-p21
Acute Monoblastic and Monocytic Leukemia	Acute_Monoblastic_and_Monocytic_Leukemia
Acute Myeloid Leukemia M5	Acute_Monoblastic_and_Monocytic_Leukemia
Acute monocytic/monoblastic leukemia (disorder)	Acute_Monoblastic_and_Monocytic_Leukemia
AML M5	Acute_Monoblastic_and_Monocytic_Leukemia
Acute monoblastic/monocytic leukemia NOS	Acute_Monoblastic_and_Monocytic_Leukemia
Acute monoblastic and monocytic leukemia (morphologic abnormality)	Acute_Monoblastic_and_Monocytic_Leukemia
Acute Monoblastic Leukemia and Acute Monocytic Leukemia	Acute_Monoblastic_and_Monocytic_Leukemia
17p11.2	17p11_2
17p11.1	17p11_1
Total Abdominal Hysterectomy with Bilateral Salpingo-Oophorectomy	Total_Abdominal_Hysterectomy_with_Bilateral_Salpingo_Oophorectomy
Interphalangeal Joint 2 of the Foot	Interphalangeal_Joint_2_of_the_Foot
IP2 of the Foot	Interphalangeal_Joint_2_of_the_Foot
INTERPHALANGEAL JOINT 2 OF THE FOOT	Interphalangeal_Joint_2_of_the_Foot
2q23-q24	2q23-q24
Male Prepuce	Male_Prepuce
Preputium Penis	Male_Prepuce
Preputial structure (body structure)	Male_Prepuce
Posterior Annular Ligament	Posterior_Annular_Ligament
Structure of annular ligament of radius (body structure)	Posterior_Annular_Ligament
Annular Ligament of the Radius	Posterior_Annular_Ligament
Parotid Gland Adenocarcinoma	Parotid_Gland_Adenocarcinoma
Adenocarcinoma of the Parotid Gland	Parotid_Gland_Adenocarcinoma
Adenocarcinoma of Parotid Gland	Parotid_Gland_Adenocarcinoma
Adenocarcinoma of the Parotid	Parotid_Gland_Adenocarcinoma
Adenocarcinoma of Parotid	Parotid_Gland_Adenocarcinoma
Parotid Adenocarcinoma	Parotid_Gland_Adenocarcinoma
Common Ulnar Vein	Common_Ulnar_Vein
Togiak Eskimos	Togiak
Superior Infratentorial Cistern	Superior_Infratentorial_Cistern
Perianal Region	Perianal_Region
Anal region structure (body structure)	Perianal_Region
Anal Region	Perianal_Region
Perianal (qualifier value)	Perianal_Region
Perianal region structure (body structure)	Perianal_Region
Perianal surface region (body structure)	Perianal_Region
PA - Perianal	Perianal_Region
Star Clan of Muscogee Creeks	Star_Clan_of_Muscogee_Creeks
3' Untranslated Region	3_Untranslated_Region
UNTRANSLATED REGIONS 003	3_Untranslated_Region
3'UTR	3_Untranslated_Region
UTR, 3'	3_Untranslated_Region
3' Untranslated Regions	3_Untranslated_Region
Untranslated Regions, 3'	3_Untranslated_Region
3'UTRs	3_Untranslated_Region
Region, 3' Untranslated	3_Untranslated_Region
Untranslated Region, 3'	3_Untranslated_Region
3' UTRs	3_Untranslated_Region
UTRs, 3'	3_Untranslated_Region
Regions, 3' Untranslated	3_Untranslated_Region
3' UTR	3_Untranslated_Region
UTR 003	3_Untranslated_Region
3' Untranslated Regions [Chemical/Ingredient]	3_Untranslated_Region
3-Dimensional Conformal Accelerated Partial Breast Irradiation	3_Dimensional_Conformal_Accelerated_Partial_Breast_Irradiation
3D Conformal Accelerated Partial Breast Irradiation	3_Dimensional_Conformal_Accelerated_Partial_Breast_Irradiation
Internal Cerebral Vein	Internal_Cerebral_Vein
Structure of internal cerebral vein (body structure)	Internal_Cerebral_Vein
Entire internal cerebral vein (body structure)	Internal_Cerebral_Vein
Terminal Ductal Lobular Unit	Terminal_Ductal_Lobular_Unit
TDLU	Terminal_Ductal_Lobular_Unit
Terminal Ductal Lobular Units	Terminal_Ductal_Lobular_Unit
RaceAmericanIndianOttawa	Ottawa
Non-Small Cell Lung Carcinoma	Non_Small_Cell_Lung_Carcinoma
Non Small Cell Lung Cancer NOS	Non_Small_Cell_Lung_Carcinoma
Non-Small Cell Lung Cancer	Non_Small_Cell_Lung_Carcinoma
Carcinoma, Non-Small-Cell Lung	Non_Small_Cell_Lung_Carcinoma
NSCLC - Non-small cell lung cancer	Non_Small_Cell_Lung_Carcinoma
NSCLC - Non-Small Cell Lung Cancer	Non_Small_Cell_Lung_Carcinoma
Non-Small Cell Carcinoma of Lung	Non_Small_Cell_Lung_Carcinoma
Carcinoma, Non Small Cell Lung	Non_Small_Cell_Lung_Carcinoma
Non-Small Cell Cancer of Lung	Non_Small_Cell_Lung_Carcinoma
Lung cancer, non-small cell	Non_Small_Cell_Lung_Carcinoma
Non-small cell lung cancer NOS	Non_Small_Cell_Lung_Carcinoma
Non-Small-Cell Lung Carcinomas	Non_Small_Cell_Lung_Carcinoma
Non-Small-Cell Lung Carcinoma	Non_Small_Cell_Lung_Carcinoma
Non-small cell lung cancer (disorder)	Non_Small_Cell_Lung_Carcinoma
Non-Small Cell Carcinoma of the Lung	Non_Small_Cell_Lung_Carcinoma
Carcinomas, Non-Small-Cell Lung	Non_Small_Cell_Lung_Carcinoma
Non-Small Cell Cancer of the Lung	Non_Small_Cell_Lung_Carcinoma
Lung Carcinomas, Non-Small-Cell	Non_Small_Cell_Lung_Carcinoma
Carcinoma, Non-Small-Cell Lung [Disease/Finding]	Non_Small_Cell_Lung_Carcinoma
lung cancer, nonsmall cell	Non_Small_Cell_Lung_Carcinoma
NSCLC	Non_Small_Cell_Lung_Carcinoma
Lung Carcinoma, Non-Small-Cell	Non_Small_Cell_Lung_Carcinoma
Nonsmall Cell Lung Cancer	Non_Small_Cell_Lung_Carcinoma
Non-small cell lung cancer, NOS	Non_Small_Cell_Lung_Carcinoma
Carcinoma, Non-Small Cell Lung	Non_Small_Cell_Lung_Carcinoma
